filename,yntype,problempitch,v1start,v1end,v1dur,v1mid,pitchHzv1start,pitchHzv1end,pitchHzv1mid,pitchHzv1mean,pitchstv1start,pitchstv1end,pitchstv1mid,pitchstv1mean,v0start,v0end,v0dur,v0mid,pitchHzv0start,pitchHzv0end,pitchHzv0mid,pitchHzv0mean,pitchstv0start,pitchstv0end,pitchstv0mid,pitchstv0mean,diffmeanHz,diffmidHz,diffmeanst,diffmidst
WE2_A001_1952s875,NA,NA,0.6699999999999999,0.73,0.06000000000000005,0.7,106.80560132005445,100.09353028463717,105.81622699245042,105.02733992908223,1.13984771764955,0.01618471371317761,0.9784183874795633,0.8449509968801641,0.8300000000000001,0.9772250745354956,0.1472250745354955,0.9036125372677478,121.26052943812002,106.62361351981437,108.7501025177001,110.95387945635773,3.3373203185522637,1.1103237789624638,1.4503765370045851,1.782895456098461,5.926539527275494,2.9338755252496753,0.9379444592182968,0.4719581495250218
WE2_A001_6885,genuine,NO,0.4867378438157616,0.5877313038756852,0.1009934600599236,0.5372345738457234,211.60310583095833,201.34275738372105,218.29163627897736,213.69827745543165,12.975253970879281,12.114605589306036,13.514938791620756,13.141228207266233,0.71,0.7999999999999999,0.08999999999999997,0.7549999999999999,208.73434017952528,202.41744436702533,202.41744436702533,203.50216384997987,12.740015600676381,12.208003524892051,12.208003524892051,12.299721111203652,-10.196113605451785,-15.874191911952039,-0.8415070960625801,-1.3069352667287042
WE2_A003_2972s210,NA,NA,0.83,0.88,0.050000000000000044,0.855,179.94501885342143,177.8233120799747,180.26666441870896,179.7136648379046,10.170674002371737,9.965072147263221,10.201400069454113,10.148092729988427,0.9899999999999999,1.16,0.17000000000000004,1.075,167.07256178954398,213.7763060155302,200.31162719543607,193.6356361149736,8.885697840610838,13.153223522677777,12.01999540007659,11.346593003233874,13.92197127706902,20.044962776727118,1.1985002732454468,1.8185953306224771
WE2_A003_4686s24,NA,NA,0.9463420143489581,1.026342014348958,0.07999999999999996,0.9863420143489581,227.93534105174479,184.42237122480603,202.71155267586357,205.3112522659843,14.262163104931403,10.590986833844111,12.226591814724319,12.416338750924584,1.196342014348958,1.4552484049360768,0.25890639058711873,1.3257952096425174,178.53906838049073,235.93690080439404,260.03563090760554,227.60599797406203,10.034575680282202,14.860812904784556,16.536674697945074,14.032804333797335,22.294745708077727,57.324078231741964,1.6164655828727508,4.310082883220755
WE2_A005_206,confirmation,NO,0.3405802216923459,0.40152586420836567,0.06094564251601975,0.3710530429503558,99.56653207410899,120.49465153731292,107.76743203759628,109.04920868694593,-0.07521700566765736,3.2264544522582383,1.2902650382120815,1.4514601320040847,0.5899999999999999,0.6969443611646529,0.106944361164653,0.6434721805823264,98.32019680889593,--undefined--,100.26536838031768,99.89915152691297,-0.2932834957356941,--undefined--,0.04587581793740908,-0.017834804586217515,-9.150057160032958,-7.5020636572785975,-1.4692949365903023,-1.2443892202746725
WE2_A007_1392s98,NA,NA,0.7613632208578845,0.8081459411464326,0.04678272028854802,0.7847545810021586,201.01211490063255,180.47756176336975,190.7448383320011,190.74483833200114,12.083353783332614,10.220155228474043,11.176230887333697,11.168243973064529,1.0551142756176461,1.1237604715757592,0.06864619595811305,1.0894373735967027,181.04804475185426,177.41036590732776,179.229205329591,179.22920532959103,10.276414592482421,9.92501747814742,10.101660673186915,10.101318753573986,-11.515633002410112,-11.515633002410112,-1.0669252194905425,-1.0745702141467817
WE2_A007_1541s511,NA,NA,1.0899999999999999,1.16,0.07000000000000006,1.125,209.96249289045326,189.7990807174196,193.16337001775562,195.08263195666447,12.841579583051034,11.093454036201445,11.397698231369866,11.560381681799356,1.27,1.39,0.11999999999999988,1.33,172.39767643904977,--undefined--,156.38843792250307,158.81408012197983,9.428883960470984,--undefined--,7.74160626669483,7.989848091889971,-36.268551834684644,-36.77493209525255,-3.5705335899093855,-3.656091964675036
WE2_A007_2577s594,NA,NA,1.3299999999999998,1.4299999999999997,0.09999999999999987,1.38,216.95968344093743,212.91533164275472,220.06721851959455,218.58696615472604,13.40912374316868,13.08335807227337,13.65526202623635,13.537614645635637,1.5928481385768483,1.7086403559311094,0.11579221735426115,1.6507442472539788,212.45325338250166,--undefined--,199.54804593643632,201.607105681529,13.04418338632911,--undefined--,11.960833744787395,12.13525291073837,-16.97986047319705,-20.519172583158223,-1.4023617348972675,-1.694428281448955
WE2_A007_4520,genuine,NO,0.7,0.779437455699624,0.07943745569962402,0.739718727849812,247.62634835911587,235.89246264650563,241.75940550281078,241.75940550281075,15.697669953971646,14.857213352967202,15.282541250220083,15.280949879068128,0.9625227021843124,1.0778211683079042,0.11529846612359185,1.0201719352461083,342.7841261401615,--undefined--,340.7375900320362,341.0442184734547,21.327594931209095,--undefined--,21.22392397203095,21.239450332293348,99.28481297064394,98.97818452922544,5.95850045322522,5.941382721810866
WE2_A007_917,genuine,NO,0.3640371428110918,0.45990313804566774,0.09586599523457595,0.41197014042837976,168.54294834994656,177.45155153965717,172.99724994480187,172.99724994480187,9.037174299155275,9.928864911563458,9.488901035875646,9.486912562883854,0.6101642119519215,0.7001642119519216,0.09000000000000008,0.6551642119519215,245.10837920649007,252.8340743888976,251.04731378438098,250.98562982909561,15.521037599502025,16.05499541748348,15.93435919815803,15.927465043660963,77.98837988429375,78.05006383957911,6.440552480777109,6.445458162282383
